条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.211,205,194,41,9,0,10,10,49,11,0,0,0,0.254
1塁,0.25,59,52,13,0,0,1,2,18,7,0,0,0,0.339
2塁,0.161,37,31,5,0,0,1,3,12,5,1,0,0,0.297
3塁,0.333,13,9,3,1,0,0,5,4,3,0,0,1,0.462
1・2塁,0.217,29,23,5,1,0,1,7,8,5,1,0,0,0.379
1・3塁,0.375,11,8,3,0,0,0,4,5,1,1,0,1,0.455
2・3塁,0.333,3,3,1,0,0,0,1,2,0,0,0,0,0.333
満塁,0.5,10,10,5,3,0,0,12,0,0,0,0,0,0.5
得点圏,0.262,103,84,22,5,0,2,32,31,14,3,0,2,0.379
