NOI432.8,GPA.234,RC38.96,RC274.01,XR40.08,XR274.13,RCAA2.83,XR+3.52,RCWIN0.33,XRWIN0.41,BABIP.285
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.072,11.47,3.74,0.161,25.38,0.258,0.631,0.00,39.0%,
