球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,584,39.1%,147.7,66,80,122,206,45.9%,22.1%,.230,139,32,9,31,13,3
スライダー,234,15.7%,131.0,40,42,36,92,50.4%,40.0%,.225,40,9,0,16,5,0
フォーク,161,10.8%,135.7,42,9,22,60,45.3%,45.7%,.261,46,12,1,18,4,0
カットボール,158,10.6%,137.9,29,28,26,55,52.5%,38.7%,.174,23,4,2,3,4,0
チェンジアップ,91,6.1%,127.4,25,11,9,33,49.5%,53.2%,.208,24,5,1,11,3,0
ツーシーム,88,5.9%,144.3,8,15,22,28,51.1%,17.8%,.333,21,7,0,6,2,0
カーブ,80,5.4%,116.1,10,18,9,35,46.3%,37.0%,.091,11,1,0,3,0,0
縦スライダー,28,1.9%,133.1,5,5,2,13,42.9%,50.0%,.000,7,0,0,4,0,0
スプリット,22,1.5%,141.3,6,0,1,11,31.8%,54.5%,.375,8,3,0,4,1,0
ナックルカーブ,21,1.4%,123.7,1,2,0,13,14.3%,16.7%,.333,6,2,0,1,0,0
シュート,14,0.9%,142.2,1,2,4,4,50.0%,12.5%,.333,3,1,0,0,0,0
シンカー,6,0.4%,136.7,1,3,0,2,66.7%,100.0%,-,0,0,0,0,0,0
パワーカーブ,3,0.2%,126.7,0,2,0,1,66.7%,-%,-,0,0,0,0,0,0
スローカーブ,2,0.1%,93.0,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.1%,127.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
