月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.209,23,93,86,8,18,4,0,3,31,8,21,6,0,1,0,0,0,0,2,.269,.360,0.629
5月,.148,18,69,61,3,9,2,0,3,20,7,17,7,0,0,0,1,0,0,0,.232,.328,0.56
6月,.212,13,34,33,3,7,1,0,1,11,4,13,0,0,1,0,0,0,0,0,.235,.333,0.569
7月,.382,15,59,55,5,21,3,0,2,30,13,18,4,0,0,0,0,0,0,0,.424,.545,0.969
8月,.217,18,56,46,6,10,3,0,1,16,2,16,10,0,0,0,0,0,0,1,.357,.348,0.705
9月,.222,13,50,45,6,10,1,0,3,20,9,12,4,0,1,0,0,0,0,1,.300,.444,0.744
10月,.250,2,6,4,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,.333,.250,0.583
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
