連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 5打席
本塁打,0打席 / 1打席
無安打,5打席 / 18打席
三振,0打席 / 3打席
無三振,1打席 / 10打席
出塁,1打席 / 5打席
