条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,0,0,0,0,0,0,0,0,0,0,0,1
敗戦,7,6,9,6,1,0,4,0,0,0,0,0,33
勝敗無,5,2,1,7,6,0,2,0,0,0,0,0,23
