HQS率18.2%,SQS率18.2%,被打率.265,被BABIP.311,被出塁率.313,被長打率.381,K/BB3.29,K/96.62,BB/92.02,HR/90.58,GO/AO0.68,援護率2.56,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.94,70.0%,-10.55,-1.22,-12.78,405,0.0,137,39,0.0,0,0,0,
