球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,860,42.2%,146.8,44,175,174,259,45.7%,10.3%,0.345,235,81,7,34,10,4
カットボール,425,20.9%,139.2,71,70,80,125,52.0%,30.9%,0.198,101,20,0,23,8,1
スライダー,339,16.6%,128.1,49,48,50,136,43.4%,31.6%,0.205,78,16,1,22,9,2
カーブ,208,10.2%,119.2,22,59,13,96,45.2%,41.5%,0.2,20,4,0,2,1,0
チェンジアップ,205,10.1%,134.5,25,22,35,81,40.0%,24.5%,0.154,52,8,0,11,0,0
