HQS率40.9%,SQS率45.5%,被打率.208,被BABIP.267,被出塁率.272,被長打率.291,K/BB3.18,K/98.64,BB/92.72,HR/90.42,GO/AO0.72,援護率4.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.41,82.0%,18.37,2.12,23.32,537,0.0,156,72,0.0,0,0,0,
