防御率1.63,試合22,先発22,救援0,連投(試)0,連投(日)0,勝利9,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投4,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.643,149.0,599,2382,16.0,112,7,143,45,0,4,2,0,37,27,1.05,81.8%
