条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,1,1,0,0,4,0,0,1,0,0,0,8
敗戦,3,1,0,1,2,1,1,0,0,0,0,0,9
勝敗無,2,4,2,0,1,5,4,2,0,0,0,0,20
