NOI335.4,GPA.178,RC13.53,RC272.50,XR14.65,XR272.71,RCAA-5.47,XR+-4.57,RCWIN-0.63,XRWIN-0.53,BABIP.235
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.071,12.06,3.57,0.098,86.50,0.254,0.524,3.38,37.3%,
