種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,2.65,13,3,10,2,0,0,0,0,0,0,0,34.0,30,2,24,7,3,10,10,1.09,0.24,6.43,3.33
Visitor,2.53,12,5,7,0,0,1,0,1,0,0,0,32.0,33,3,17,9,0,10,9,1.31,0.284,3.0,-
