NOI291.7,GPA.156,RC1.26,RC271.26,XR1.23,XR271.23,RCAA-1.78,XR+-1.83,RCWIN-0.21,XRWIN-0.22,BABIP.455
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.46,0.042,-,0.042,0.316,-,40.6%,
