打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,35,6,0.171,3,9,2,0,0,0.216
2打席目,35,6,0.171,1,9,1,0,1,0.189
3打席目,33,8,0.242,1,8,4,0,0,0.324
4打席目,28,5,0.179,0,8,5,0,0,0.303
5打席目以上,5,3,0.6,0,0,1,0,0,0.667
