条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.191,106,94,18,5,0,1,21,11,0,1,0
対左打者,0.333,80,69,23,1,1,3,13,8,1,1,1
