防御率3.50,試合54,先発0,救援54,連投(試)0,連投(日)0,勝利2,敗戦1,HLD18,Ｓ1,ＨＰ20,ＳＰ3,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,43.2,186,699,16.0,41,4,34,19,1,1,3,0,18,17,1.37,-
