左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
7.1% (1),7.1% (1),7.1% (1),7.1% (1),7.1% (1),7.1% (1),85.7% (12),85.7% (12),85.7% (12)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),8.3% (1),50.0% (1),- (0),0.0% (0),50.0% (1),- (0),91.7% (11)
