NOI218.1,GPA.111,RC0.39,RC270.66,XR0.50,XR270.85,RCAA-1.48,XR+-1.39,RCWIN-0.17,XRWIN-0.16,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.051,19.00,9.50,0.000,-,0.188,0.357,0.00,15.8%,
