防御率1.96,試合63,先発0,救援63,連投(試)0,連投(日)0,勝利7,敗戦1,HLD14,Ｓ0,ＨＰ21,ＳＰ7,救勝7,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.875,59.2,240,977,16.4,39,4,64,22,2,5,2,0,14,13,1.02,-
