防御率2.52,試合40,先発0,救援40,連投(試)1,連投(日)1,勝利4,敗戦4,HLD22,Ｓ0,ＨＰ26,ＳＰ4,救勝4,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,35.2,144,547,15.3,26,1,27,15,2,2,1,0,10,10,1.15,-
