月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.125,16,49,40,1,5,0,0,0,5,3,11,4,1,0,3,2,2,0,1,.196,.125,0.321
5月,.344,9,35,32,4,11,2,0,0,13,2,6,1,1,0,2,0,1,0,0,.364,.406,0.77
6月,.246,17,65,61,4,15,2,0,0,17,2,20,2,0,0,2,0,1,1,3,.270,.279,0.549
7月,.250,18,63,56,7,14,3,0,3,26,8,13,5,0,0,1,1,0,1,4,.306,.464,0.771
8月,.161,19,63,56,7,9,0,0,2,15,2,11,5,1,0,2,0,2,0,0,.230,.268,0.497
9月,.250,9,18,16,0,4,1,0,0,5,0,3,1,0,1,0,0,0,0,0,.333,.313,0.646
10月,.250,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.250,0.5
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
