打率.223,試合89,打席297,打数265,得点23,安打59,内安9,内安率15.3,２Ｂ8,３Ｂ0,本塁5,HR勝敗2-1-0,塁打82,打点17,三振64
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,3,1,10,3,6,2,75.0,8,0,5,.193,.272,.309,.581
