チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.241,16,63,54,6,13,3,0,3,25,8,14,2,1,0,5,2,0,0,2,0.259,0.463,0.722
ＤｅＮＡ,0.079,15,47,38,3,3,0,0,0,3,0,9,8,1,0,1,0,2,1,0,0.239,0.079,0.318
広島,0.083,10,26,24,1,2,0,0,0,2,1,7,2,0,0,0,0,0,0,2,0.154,0.083,0.237
ヤクルト,0.324,22,78,71,9,23,2,0,2,31,6,15,4,0,1,1,1,3,1,1,0.364,0.437,0.8
中日,0.179,12,30,28,0,5,1,0,0,6,0,5,1,1,0,1,0,0,0,0,0.207,0.214,0.421
