条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.214,170,159,34,4,0,4,4,42,11,0,0,0,0.265
1塁,0.286,57,49,14,2,0,1,3,11,1,0,7,0,0.3
2塁,0.2,21,15,3,0,0,0,0,3,4,1,1,0,0.4
3塁,0.0,3,3,0,0,0,0,0,1,0,0,0,0,0.0
1・2塁,0.167,21,18,3,1,0,0,1,2,1,0,2,0,0.211
1・3塁,0.167,7,6,1,0,0,0,1,2,1,0,0,0,0.286
2・3塁,0.2,6,5,1,0,0,0,2,2,0,0,0,1,0.167
満塁,0.3,12,10,3,1,0,0,6,1,0,0,0,2,0.25
得点圏,0.193,70,57,11,2,0,0,10,11,6,1,3,3,0.269
