NOI374.9,GPA.200,RC22.04,RC272.63,XR23.20,XR272.77,RCAA-6.19,XR+-5.18,RCWIN-0.73,XRWIN-0.61,BABIP.271
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.28,0.049,16.50,4.64,0.087,53.00,0.170,0.493,5.45,29.3%,
