アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,64,29.9%,安打,59,71.1%
フライ,76,35.5%,四死球,19,22.9%
空三振,58,27.1%,失策出塁,5,6.0%
見三振,6,2.8%,野選,0,0.0%
犠打,10,4.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
