NOI0.0,GPA.000,RC-1.05,RC27-2.18,XR-0.94,XR27-1.96,RCAA-2.28,XR+-2.18,RCWIN-0.27,XRWIN-0.26,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.25,0.000,-,0.000,0.000,-,30.8%,
