種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,12.0,1,1,0,0,0,0,0,0,0,0,0,3.0,5,2,6,0,0,4,4,1.67,0.357,18.0,-
Visitor,0.0,1,1,0,0,0,0,0,0,0,0,0,4.2,3,0,2,5,0,1,0,1.71,0.188,1.8,-
