NOI401.5,GPA.226,RC1.32,RC273.97,XR1.45,XR274.34,RCAA0.14,XR+0.25,RCWIN0.02,XRWIN0.03,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.068,12.00,4.00,0.273,11.00,0.364,0.667,0.00,41.7%,
