HQS率-,SQS率-,被打率.214,被BABIP.274,被出塁率.272,被長打率.305,K/BB4.29,K/99.05,BB/92.11,HR/90.60,GO/AO1.59,援護率-,IPR4.26,NHB%38.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.33,85.9%,7.66,0.90,5.71,729,8.2,0,0,59.2,14,24,52,
