防御率3.55,試合23,先発23,救援0,連投(試)0,連投(日)0,勝利7,敗戦8,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.467,132.0,554,2129,16.1,129,14,101,32,1,4,2,0,54,52,1.22,43.5%
