HQS率26.1%,SQS率26.1%,被打率.255,被BABIP.293,被出塁率.303,被長打率.389,K/BB3.16,K/96.89,BB/92.18,HR/90.95,GO/AO1.02,援護率4.83,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.41,76.3%,-6.08,-0.72,-8.41,466,0.0,138,74,0.0,0,0,0,
