打率.292,試合131,打席517,打数442,得点54,安打129,内安11,内安率8.5,２Ｂ17,３Ｂ1,本塁6,HR勝敗5-1-0,塁打166,打点50,三振109
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
62,1,6,4,3,2,2,50.0,2,0,8,.306,.384,.376,.760
