NOI509.2,GPA.267,RC67.52,RC275.52,XR66.44,XR275.44,RCAA16.63,XR+14.95,RCWIN1.92,XRWIN1.73,BABIP.373
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.57,0.092,8.34,4.74,0.084,73.67,0.224,0.724,3.00,34.2%,
