HQS率-,SQS率-,被打率.242,被BABIP.286,被出塁率.390,被長打率.364,K/BB0.67,K/94.91,BB/97.36,HR/90.00,GO/AO1.11,援護率-,IPR2.29,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.26,75.0%,-1.19,-0.14,-1.81,115,3.0,0,0,18.1,8,5,16,
