HQS率-,SQS率-,被打率.231,被BABIP.261,被出塁率.375,被長打率.346,K/BB0.50,K/94.05,BB/98.10,HR/90.00,GO/AO0.60,援護率-,IPR1.67,NHB%14.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.09,66.7%,-1.52,-0.18,-1.75,20,0.1,0,0,6.2,4,1,6,
