NOI0.0,GPA.000,RC-0.10,RC27-2.70,XR-0.09,XR27-2.43,RCAA-0.20,XR+-0.19,RCWIN-0.02,XRWIN-0.02,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.000,-,0.0%,
