防御率5.84,試合10,先発0,救援10,連投(試)0,連投(日)0,勝利0,敗戦0,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
-,12.1,59,237,19.2,14,2,12,6,0,2,1,0,9,8,1.62,-
