左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.5% (51),40.5% (51),40.5% (51),22.2% (28),22.2% (28),22.2% (28),37.3% (47),37.3% (47),37.3% (47)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
31.4% (11),100.0% (3),42.0% (37),34.3% (12),0.0% (0),18.2% (16),34.3% (12),0.0% (0),39.8% (35)
