NOI357.1,GPA.192,RC14.52,RC272.51,XR15.03,XR272.60,RCAA-4.87,XR+-4.46,RCWIN-0.57,XRWIN-0.53,BABIP.278
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.047,17.00,3.64,0.103,61.33,0.179,0.480,3.00,34.8%,
