球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,114,55.3%,149.5,3,16,22,37,36.0%,4.9%,0.278,36,10,1,2,0,0
スライダー,26,12.6%,131.2,3,6,2,13,42.3%,42.9%,0.333,3,1,0,1,0,0
ツーシーム,25,12.1%,144.1,6,1,3,12,40.0%,50.0%,0.5,4,2,0,1,1,0
スプリット,23,11.2%,142.9,7,1,2,4,43.5%,38.9%,0.286,14,4,0,5,0,0
カーブ,18,8.7%,120.7,0,4,2,9,33.3%,0.0%,0.333,3,1,0,0,0,0
