防御率3.31,試合18,先発0,救援18,連投(試)0,連投(日)0,勝利0,敗戦2,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,16.1,72,287,17.6,12,0,16,13,0,1,2,0,7,6,1.53,-
