アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,17,28.3%,安打,19,65.5%
フライ,25,41.7%,四死球,9,31.0%
空三振,15,25.0%,失策出塁,1,3.4%
見三振,2,3.3%,野選,0,0.0%
犠打,1,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
