連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 5打席
本塁打,0打席 / 1打席
無安打,3打席 / 18打席
三振,0打席 / 3打席
無三振,7打席 / 19打席
出塁,0打席 / 5打席
