球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,468,49.3%,147.1,17,125,94,152,50.4%,8.9%,.247,89,22,1,16,14,1
スライダー,112,11.8%,129.9,10,29,9,47,42.9%,27.8%,.045,22,1,1,7,1,0
フォーク,80,8.4%,136.9,6,13,16,29,43.8%,15.8%,.278,18,5,0,2,0,0
チェンジアップ,75,7.9%,134.4,7,15,14,31,48.0%,24.1%,.214,14,3,0,6,2,0
カットボール,60,6.3%,136.8,5,20,8,15,55.0%,20.0%,.500,12,6,0,3,1,0
カーブ,34,3.6%,118.9,0,11,3,12,41.2%,0.0%,.500,8,4,0,0,0,0
ツーシーム,34,3.6%,143.8,1,6,4,17,32.4%,9.1%,.333,6,2,0,0,2,0
スプリット,30,3.2%,140.7,2,4,5,11,36.7%,13.3%,.625,8,5,0,1,0,0
シンカー,18,1.9%,133.4,0,10,1,5,61.1%,0.0%,.000,2,0,0,0,0,0
縦スライダー,16,1.7%,131.9,3,4,3,4,62.5%,37.5%,.000,4,0,0,2,0,0
シュート,10,1.1%,141.0,0,3,0,2,30.0%,0.0%,.400,5,2,0,0,0,0
パワーカーブ,5,0.5%,123.0,0,2,0,1,40.0%,0.0%,.000,2,0,0,0,0,0
ナックルカーブ,5,0.5%,128.2,0,0,0,5,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,133.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.1%,128.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
