打率.263,試合102,打席224,打数190,得点21,安打50,内安5,内安率10.0,２Ｂ8,３Ｂ1,本塁2,HR勝敗1-1-0,塁打66,打点23,三振37
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
20,0,1,13,0,1,1,50.0,2,0,5,.327,.336,.347,.684
