条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,0,1,0,0,0,0,0,0,0,0,1
敗戦,6,3,5,3,4,0,3,0,0,0,0,0,24
勝敗無,2,0,7,1,3,0,0,0,0,0,0,0,13
