防御率4.48,試合14,先発14,救援0,連投(試)0,連投(日)0,勝利2,敗戦6,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,64.1,293,1036,16.1,80,1,30,23,0,4,2,0,38,32,1.60,35.7%
