アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,123,41.3%,安打,111,71.6%
フライ,91,30.5%,四死球,39,25.2%
空三振,66,22.1%,失策出塁,4,2.6%
見三振,14,4.7%,野選,1,0.6%
犠打,4,1.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
