HQS率-,SQS率-,被打率.206,被BABIP.194,被出塁率.270,被長打率.353,K/BB0.67,K/91.93,BB/92.89,HR/90.96,GO/AO1.50,援護率-,IPR4.67,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.38,93.0%,1.39,0.16,1.08,68,2.0,0,0,9.1,2,2,8,
