アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,15,53.6%,安打,7,70.0%
フライ,10,35.7%,四死球,3,30.0%
空三振,1,3.6%,失策出塁,0,0.0%
見三振,1,3.6%,野選,0,0.0%
犠打,1,3.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
