打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.262,17,64,61,8,16,3,0,0,19,3,17,3,0,0,0,0,0,0,0,0.297,0.311,0.608
Nighter,0.278,43,176,151,17,42,8,0,3,59,12,48,22,0,3,0,0,1,1,1,0.381,0.391,0.771
