球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,417,42.5%,147.3,37,62,93,150,46.0%,18.0%,0.333,93,31,2,18,11,1
カットボール,139,14.2%,137.9,30,18,20,53,48.9%,44.1%,0.241,29,7,1,11,6,0
スライダー,116,11.8%,130.3,25,17,8,48,43.1%,49.0%,0.308,26,8,0,8,4,1
フォーク,110,11.2%,136.5,28,5,17,54,45.5%,54.9%,0.056,18,1,0,12,2,0
チェンジアップ,58,5.9%,128.9,13,5,7,20,43.1%,39.4%,0.333,18,6,0,5,1,0
カーブ,37,3.8%,117.4,6,6,4,13,43.2%,33.3%,0.1,10,1,0,2,0,0
シュート,28,2.9%,144.6,6,5,4,10,53.6%,46.2%,0.0,6,0,0,3,0,0
ツーシーム,28,2.9%,144.3,2,3,7,15,42.9%,20.0%,0.5,2,1,0,1,0,1
スプリット,22,2.2%,138.4,5,0,5,10,45.5%,41.7%,0.25,4,1,0,2,1,0
ナックルカーブ,13,1.3%,125.6,2,1,4,4,53.8%,25.0%,0.333,3,1,0,1,0,0
縦スライダー,7,0.7%,130.3,1,1,2,2,57.1%,25.0%,0.5,2,1,0,1,0,0
パワーカーブ,7,0.7%,125.2,2,0,3,2,71.4%,40.0%,0.0,1,0,0,1,0,0
