NOI481.0,GPA.253,RC28.54,RC274.85,XR27.76,XR274.71,RCAA5.73,XR+4.83,RCWIN0.67,XRWIN0.57,BABIP.382
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.085,9.60,3.69,0.094,70.67,0.212,0.667,1.50,38.8%,
