球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,807,47.7%,146.7,46,169,170,265,47.7%,12.3%,0.28,182,51,5,36,7,2
スライダー,351,20.7%,127.8,44,78,56,101,50.7%,25.6%,0.255,102,26,5,30,7,0
フォーク,237,14.0%,129.9,69,15,36,75,50.6%,46.9%,0.229,70,16,0,28,1,0
ツーシーム,113,6.7%,146.3,8,14,22,37,38.9%,12.9%,0.382,34,13,3,2,2,0
カーブ,105,6.2%,114.5,8,30,9,43,44.8%,25.0%,0.333,15,5,1,0,0,0
カットボール,79,4.7%,135.5,18,9,14,24,51.9%,39.1%,0.222,18,4,1,4,1,0
