NOI350.6,GPA.190,RC5.85,RC272.47,XR6.30,XR272.66,RCAA-2.04,XR+-1.63,RCWIN-0.24,XRWIN-0.19,BABIP.211
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.24,0.057,20.75,4.88,0.133,37.50,0.200,0.500,1.33,27.7%,
