打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,67,27,0.403,3,7,5,0,0,0.444
2打席目,66,16,0.242,2,11,6,0,0,0.306
3打席目,62,12,0.194,1,10,5,1,0,0.254
4打席目,51,10,0.196,0,11,4,1,0,0.255
5打席目以上,11,3,0.273,0,0,1,0,0,0.333
