左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
28.6% (4),28.6% (4),28.6% (4),14.3% (2),14.3% (2),14.3% (2),57.1% (8),57.1% (8),57.1% (8)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),33.3% (4),0.0% (0),- (0),16.7% (2),100.0% (2),- (0),50.0% (6)
