NOI160.7,GPA.081,RC-0.83,RC27-0.89,XR-0.50,XR27-0.54,RCAA-3.20,XR+-2.89,RCWIN-0.38,XRWIN-0.34,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.040,25.00,3.13,0.000,-,0.136,0.217,0.00,36.0%,
