打率.241,試合73,打席158,打数141,得点15,安打34,内安2,内安率5.9,２Ｂ9,３Ｂ0,本塁2,HR勝敗1-1-0,塁打49,打点16,三振42
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,2,1,2,0,3,2,60.0,3,0,2,.243,.314,.348,.662
