NOI429.9,GPA.228,RC15.49,RC273.70,XR15.05,XR273.60,RCAA0.48,XR+-0.04,RCWIN0.06,XRWIN-0.01,BABIP.330
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.073,11.29,3.76,0.106,70.50,0.213,0.586,2.40,36.7%,
