球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,292,46.7%,146.0,35,45,65,109,49.7%,25.4%,.217,60,13,2,24,8,1
スライダー,97,15.5%,128.0,11,26,15,33,53.6%,28.9%,.200,15,3,0,3,1,0
フォーク,66,10.6%,133.8,12,4,11,23,40.9%,30.8%,.273,22,6,0,6,1,0
カットボール,49,7.8%,135.0,7,9,6,15,44.9%,28.0%,.267,15,4,0,3,1,0
ツーシーム,26,4.2%,142.8,3,5,5,8,50.0%,23.1%,.143,7,1,0,2,1,0
カーブ,23,3.7%,114.9,2,7,2,9,47.8%,28.6%,.667,3,2,0,0,0,0
チェンジアップ,19,3.0%,131.1,4,6,2,5,63.2%,50.0%,.000,3,0,0,1,0,0
スプリット,15,2.4%,140.2,4,1,2,2,46.7%,33.3%,.500,8,4,0,2,0,0
ナックルカーブ,11,1.8%,127.7,0,4,1,4,45.5%,0.0%,.000,2,0,0,0,0,0
シュート,10,1.6%,142.3,2,0,3,2,50.0%,25.0%,.333,3,1,0,0,0,0
シンカー,9,1.4%,137.0,1,4,1,1,66.7%,25.0%,.000,2,0,0,0,0,0
パワーカーブ,5,0.8%,126.0,1,1,2,1,80.0%,33.3%,.000,1,0,0,1,0,0
縦スライダー,3,0.5%,127.0,1,1,1,0,100.0%,50.0%,-,0,0,0,0,0,0
