左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
13.0% (3),13.0% (3),13.0% (3),13.0% (3),13.0% (3),13.0% (3),73.9% (17),73.9% (17),73.9% (17)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),0.0% (0),16.7% (3),0.0% (0),0.0% (0),16.7% (3),100.0% (3),100.0% (2),66.7% (12)
